Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"130030 Autazes";38830;2,54;667,22;51,25;16,09;2,35;9,21;20634261,80;6380213,64;25908056,60
"130040 Barcelos";27364;2,00;503,84;52,98;0,00;9,57;13,23;7882514,70;5409717,29;13787158,72
"130050 Barreirinha";31593;1,07;580,60;57,56;17,24;4,28;7,96;12108211,37;6215678,39;18342965,63
"130060 Benjamin Constant";42020;3,24;550,11;46,70;5,58;6,10;11,87;13901292,62;9753926,47;23115684,05
"130063 Beruri";19258;1,75;438,71;65,68;7,80;4,75;4,30;6127942,76;4000360,03;8448587,75
"130068 Boa Vista do Ramos";18781;1,45;502,28;57,69;5,52;5,99;17,01;9983607,36;3567031,41;9433368,42
"130070 Boca do Acre";33976;2,38;535,08;51,08;4,13;21,48;4,61;10243307,60;6530058,96;18179886,48
"130080 Borba";40565;2,43;460,61;58,38;0,00;6,05;5,95;15165946,26;6353246,04;18684531,11
"130083 Caapiranga";12877;1,63;549,34;64,27;9,44;14,32;0,35;4303112,89;3109240,70;7073909,57
"130090 Canutama";15450;1,82;791,83;34,70;0,17;4,70;24,16;5315660,03;5467954,74;12233817,52
"130100 Carauari";28076;5,23;576,20;33,63;18,05;6,85;9,43;10218621,82;5705922,77;16177396,55
"130110 Careiro";37384;3,76;788,70;21,45;10,12;6,04;11,55;18494209,98;8081621,41;29484726,77
"130115 Careiro da Várzea";29595;2,05;556,97;37,80;1,98;10,04;2,41;10168779,18;4423823,62;16483572,81
"130120 Coari";84272;8,69;817,31;66,03;0,03;12,03;0,21;30541407,56;38720656,32;68876634,85
"130130 Codajás";28100;2,58;441,11;54,69;6,34;7,17;6,98;7211005,24;6238120,22;12395181,57
"130140 Eirunepé";34840;2,02;589,77;18,48;2,57;14,34;14,38;11734323,19;5913009,43;20547624,28
"130160 Fonte Boa";18221;2,23;764,88;32,08;7,93;5,39;4,50;9673961,71;4017400,57;13936914,60
"130165 Guajará";16416;0,93;749,83;31,05;3,68;2,41;20,74;7905876,35;4077916,23;12309222,29
"130170 Humaitá";54001;3,54;649,37;20,53;0,00;41,56;4,22;21961556,86;15434026,56;35066839,37
"130180 Ipixuna";28933;1,35;479,07;41,76;16,94;3,73;4,05;7799001,40;4674250,23;13860879,14
"130185 Iranduba";47571;3,67;612,56;57,76;2,95;5,08;9,31;20453304,82;14346402,18;29139939,06
"130190 Itacoatiara";99955;8,24;547,09;64,37;3,32;18,54;2,88;30288328,38;24364198,41;54684352,27
"130195 Itamarati";7888;1,04;938,20;32,28;8,98;3,37;25,90;4201617,37;2669079,93;7400527,45
"130200 Itapiranga";9064;2,16;993,75;51,57;5,30;10,99;6,79;4818901,18;3112100,64;9007332,15
"130210 Japurá";3265;0,95;1695,47;60,03;0,00;3,38;0,07;5309246,75;3009788,24;5535716,32
"130220 Juruá";14312;1,64;664,46;30,32;4,50;14,87;15,06;5138590,94;3849495,61;9509749,31
"130230 Jutaí";14753;1,44;1091,63;43,62;13,75;10,09;12,64;9672011,08;7571251,97;16104770,89
"130240 Lábrea";45245;0,00;431,16;32,86;4,33;19,06;1,54;14706574,39;6860000,00;19508000,00
"130250 Manacapuru";96236;3,89;557,64;38,06;0,00;20,02;21,15;42826159,77;15822627,55;53664657,14
"130255 Manaquiri";31147;1,78;421,82;26,37;9,27;32,61;9,01;7745363,15;5438953,41;13138458,43
"130260 Manaus";2145444;18,70;456,00;71,91;6,09;11,04;2,58;197081960,16;723573363,87;978315652,77
